NAME	Astrocyte	Endothelial	Microglia	Oligodendrocyte	Neuron
Arf6	1	189.45159250334	1	1	25.0303912422857
Arfgef3	1	1	1	1	245.867275480697
Arhgap20	1	1	1	1	101.792220922726
Arhgap22	1	1	267.895996059889	1	1
Arhgap24	1	1	1	308.807246494669	1
Arhgap25	1	1	181.545242604739	1	1
Arhgap27	1	78.2919175869426	1	1	1
Arhgap29	1	445.990210350635	1	1	1
Arhgap30	1	1	215.614843910224	1	1
Arhgap42	132.482536526664	1	1	1	1
Arhgap44	1	1	1	1	158.506813356968
Arhgap45	1	1	623.231224187894	1	1
Arhgdib	1	1	182.979947842464	1	1
Arhgdig	1	1	1	1	147.001396164803
Arhgef10	1	82.2275582140099	1	251.881696428198	1
Arhgef15	1	152.307585818099	1	1	1
Arhgef19	110.045719377318	1	1	1	1
Arhgef26	386.45549691064	1	1	1	1
Arhgef4	312.034926417398	1	1	1	132.332150278595
Arhgef6	1	1	173.732043283909	1	1
Arid3a	1	1	97.075036366457	1	1
Arl13b	1	75.8409460614332	1	1	1
Arl4a	1	615.926660044103	1	74.6139661666798	65.4619613662347
Arl4c	1	1	239.328229700503	1	91.865791479871
Arl4d	1	94.7531816841574	1	1	1
Arrb1	179.866600745042	1	1	1	104.407000891702
Arrb2	1	1	187.248141156034	1	1
Arsg	1	1	1	79.873185976329	1
Asb8	107.130336150961	1	1	1	33.0888669880754
Aspa	1	1	1	282.18242486355	1
Aspscr1	1	100.384805170748	1	1	1
Asrgl1	378.1064279577	1	1	218.842325388856	1
Atf3	1	1	855.777360255491	1	1
Atl2	178.825610106868	1	1	1	45.9109255673559
Atp10a	1	881.309276311414	1	1	1
Atp13a4	190.999741582005	1	1	1	1
Atp13a5	1	353.153889425286	1	1	1
Atp1a2	5749.2112537878	1955.13969415848	1	534.869052969258	1
Atp1a3	1	1	1	68.006722871811	582.666201199671
Atp2b4	1	1	1	1	169.522712884962
Atp5o	84.0233620072382	1	1	1	1
Atp7a	1	1	103.011418427929	1	1
Atp8a2	1	1	368.64889588288	1	133.683748518345
Atp8b1	1	1	1	77.4282734311539	1
Atp9a	1	1	1	171.521443896591	193.251348331235
Atxn7l3	1	1	1	1	89.9201288799666
Axin2	1	117.106552691427	1	1	1
Axl	103.293662966575	1	1	1	1
B230209E15Rik	1	1	1	1	253.500698300647
B230217C12Rik	1	1	1	1	90.6907559903246
B230334C09Rik	1	1	1	1	172.698185400731
B2m	1	669.800954311935	1736.85972216235	1	32.8696423436082
B3galt1	1832.28498241956	1	1	382.547124493122	394.482313767029
B3gat2	1	1	1	91.7634200433356	1
B430010I23Rik	1	132.320676715305	223.692129591636	1	1
B4galt1	1	80.5293827767003	356.335769349864	1	1
B4galt4	1	180.748630996173	1	1	1
B930036N10Rik	1	1	368.116200570526	1	1
BC017643	1	1	112.238046275521	1	1
BC028528	1	259.479330818163	1	1	1
BC035044	1	1	195.456210166829	1	1
BC037034	1	1	99.4402531614286	1	1
Baalc	396.9459311976	1	1	1	162.731693982131
Bace1	1	1	1	163.243406977662	85.2477511363834
Bach1	1	1	117.923708046619	1	1
Bank1	1	1	371.97348059061	1	1
Baz1a	1	1	85.6043479731856	1	1
Bcam	1	196.226902349198	1	1	1
Bcan	798.129551106642	1	1	336.862938399598	1
Bcar1	1	1	1	105.051644345734	1
Bcar3	165.889489494208	65.0748545387376	1	1	1
Bcas1	1	1	1	1028.74610433192	1
Bcl10	1	1	118.216513482616	1	1
Bcl11a	1	1	1	1	271.16803392188
Bcl11b	1	1	1	1	204.500527288057
Bcor	1	1	226.083283593027	1	45.573076242872
Bdnf	1	1	1	1	110.216514915589
Bend6	1	1	1	1	214.845838548628
Bex1	1	1	1	1	133.731539214135
Bex2	1	1	1	95.0369523132752	370.190532274585
Bfsp2	1	1	1	144.792699601678	1
Bgn	1	176.03372938592	1	1	1
Bhlhe41	87.7718337064525	1	201.576012642646	1	1
Bicc1	1	1	1	81.1247651692597	1
Bin2	1	1	370.063772259949	1	1
Birc3	1	1	159.235325001619	1	1
Blnk	1	1	497.141559443083	1	1
Blvrb	1	1	107.720075266601	1	1
Bmp1	1	1	1	83.1890871403059	1
Bmp2k	130.155042595492	1	493.411940490127	1	1
Bmpr1b	669.581416080288	1	1	1	1
Bnip2	1	191.316131048401	1	1	1
Bok	1	271.618337485475	1	1	78.1586645319474
Bpgm	1	1	1	117.164306462968	34.686624234799
Bri3bp	1	1	1	1	108.264071973305
Brinp1	1	1	1	417.256467884825	441.03191548163
Brinp2	1	1	1	1	146.385579529829
Brinp3	333.189400569147	1	1	824.877534149709	326.142333105492
Bsn	1	1	1	1	312.353520634617
Btbd10	1	1	1	1	86.7816128718966
Btbd17	207.146086234265	1	1	1	1
Btbd3	1	1	1	1	89.0068118570524
Btg2	1	446.88720963431	2649.36758276804	1	1
Btg3	1	76.1561109104429	1	1	1
Btk	1	1	146.08803224267	1	1
Bvht	1	191.743993316713	1	1	1
C030018K13Rik	92.0118800603799	1	1	1	1
C030029H02Rik	1	1	1	232.828051369851	1
C030037D09Rik	80.0695226422736	1	1	1	1
C130074G19Rik	1	199.759613969308	1	1	1
C1qa	1	1	4016.32502077939	1	1
C1qb	1	1	3644.87725991365	1	1
C1qc	1	1	3610.19412597663	1	1
C1ql1	1	1	1	401.383394293859	1
C1ql3	1	1	1	1	264.474429843589
C3ar1	1	1	453.622983015387	1	1
C5ar1	1	1	262.315257575065	1	1
C5ar2	1	1	108.440332464643	1	1
Cables1	149.849339850347	1	189.625683676332	1	1
Cachd1	140.360540365988	97.117057565626	1	1	1
Cacna1b	1	1	1	1	173.400535478253
Cacna1e	1	1	1	69.7799265470305	361.013275344172
Cacna2d3	1	1	1	119.094554411409	471.30867305031
Cacnb3	1	1	1	1	103.360514306913
Cacnb4	1	1	1	227.355075538033	678.225237276375
Cacng2	1	1	1	1	208.54186545353
Cacng3	1	1	1	1	144.285527377571
Cacng4	1	1	1	714.177350709344	1
Cacng8	103.765153915494	1	1	1	31.0543851080905
Cadm3	1	1	1	1	224.725814502732
Cadps2	1	1	1	1	221.853188769841
Calcrl	1	129.744696144439	1	132.801422439379	1
Cald1	1	1131.48727689364	1	157.534181567348	1
Caln1	1	1	1	1	314.192205294168
Caly	1	1	1	1	106.275410517611
Camk2a	1	1	1	61.4241143813493	615.689617113244
Camk2b	1	1	1	1	404.306941678238
Camk2n2	1	1	1	1	138.33646981032
Camk4	1	1	1	1	333.711845281789
Camkv	1	1	1	1	157.990652028408
Cap1	1	1	192.627176733855	1	46.9069181401822
Capn3	1	1	208.122565962012	1	1
Car10	1	1	1	125.824675446906	517.572047239885
Car11	1	1	1	1	99.6301659661942
Car14	1	1	1	85.4026905739616	1
Car2	272.139005617347	86.3598477081554	1	621.755144186149	1
Car4	1	654.640574874617	1	1	1
Car5a	1	186.574878810738	1	1	1
Car8	116.886956987339	1	1	76.1973977165311	1
Carhsp1	1	1	1	193.881649217017	1
Carmil1	212.554130871685	1	1	1	61.8879865241584
Caskin1	148.586597849532	1	1	1	46.9444927922986
Casp8	1	1	132.955075563951	1	1
Cass4	1	1	110.133167372966	1	1
Cast	1	154.367659762925	1	1	1
Cat	1	1	1	54.2513364185483	1
Cav1	1	271.347766752514	1	94.1097730582781	1
Cav2	1	266.224071496606	1	1	34.3925213219038
Cavin1	1	738.948908876358	1	1	1
Cavin2	1	270.354116194285	1	1	1
Cbarp	1	1	1	1	314.813547836163
Cbfa2t3	1	259.925783197634	1	1	53.4598016245969
Cbs	223.359904616737	1	1	1	1
Cc2d2a	91.5102681040404	1	1	1	1
Ccdc141	209.458019587269	1216.14568891419	1	1	1
Ccdc190	202.26437692648	1	1	1	1
Ccdc58	95.9061885199905	1	1	1	34.3176114185811
Ccdc80	82.6370518865753	1	1	1	1
Ccdc88c	76.2950328030465	1	1	1	1
Ccdc93	1	1	149.247206646665	1	1
Ccl12	1	1	206.65631080015	1	1
Ccl27a	1	1	1	1	117.603522562933
Ccl3	1	1	950.696429480505	1	1
Ccl4	1	1	1642.58496951282	1	1
Ccl6	1	1	97.1299578571775	1	1
Ccl9	1	1	158.853882757386	1	1
Ccm2l	1	93.7732688436123	1	1	1
Ccp110	1	1	1	201.17636799148	31.0779896394515
Ccr5	1	1	660.227956170131	1	1
Ccrl2	1	1	261.308597086319	1	1
Cd14	1	1	144.289533542601	1	1
Cd151	1	198.933451232811	1	1	1
Cd180	1	1	273.759971562407	1	1
Cd200	1	343.808854431551	1	1	115.995207231674
Cd300a	1	1	147.35899737554	1	1
Cd300c2	1	1	651.562064522947	1	1
Cd302	1	1	93.7830293262049	1	1
Cd33	1	1	361.998491243839	1	1
Cd34	1	496.556875272808	1	1	1
Cd37	1	1	307.06313864778	1	1
Cd52	1	1	313.929630242979	1	1
Cd53	1	1	632.792016734809	1	1
Cd59a	1	131.570648927758	1	1	1
Cd63	83.4219992046559	1	1	1	1
Cd68	1	1	195.48204539303	1	1
Cd83	1	1	3294.50200947458	1	1
Cd84	1	1	389.922563987786	1	1
Cd86	1	1	563.337919531607	1	1
Cd9	1	1	402.067764636784	293.107277364222	1
Cd93	1	280.030696633121	1	1	1
Cdc14a	99.7508563661419	1	1	1	1
Cdc42ep3	1	168.239878481801	1	1	27.1595135700357
