NAME	Neuron	Endothelial	Astrocyte	Microglia	Oligodendrocyte
Arhgap29	1	473.065586247137	1	1	1
Arhgap30	1	1	1	157.939789526125	1
Arhgap32	123.536994592439	1	1	1	1
Arhgap4	1	1	1	163.474510798931	1
Arhgap44	499.674432428631	1	1	1	75.0076005922203
Arhgdib	1	244.070373571719	1	854.607342490165	1
Arhgef10	1	1	1	1	131.469326397099
Arhgef15	1	143.856740356128	1	1	1
Arhgef26	1	1	164.792803306444	1	1
Arhgef40	1	1	1	48.2881785862258	1
Arhgef6	1	141.217927739643	1	185.29452136824	1
Arhgef7	125.414487115404	1	1	1	1
Arhgef9	106.205597878243	1	1	1	1
Arid5a	1	1	86.9148298023602	1	1
Arid5b	24.7903628761553	109.828004131724	1	1	1
Arl4a	50.8912101041915	1327.04196697126	1	1	116.215018108782
Arl4c	46.6353218613055	1	1	175.172691585355	1
Armcx1	184.740210376543	1	1	1	1
Arnt	1	56.5220480752482	1	1	1
Arnt2	111.163173422115	1	1	1	149.716451665607
Arpc1b	1	1	1	126.513623815356	1
Arpp21	636.905669647963	1	1	1	1
Arrdc1	1	141.374972407196	1	95.1440694888167	1
Arrdc3	33.809059923034	1	1	62.8024330265657	291.96325425745
Arsg	1	1	1	1	214.660849677388
Arsk	1	1	133.207545737481	1	85.4264548431292
Asap2	1	1	66.0959417418859	1	1
Asns	591.722718609754	1	1	1	1
Aspa	1	1	1	1	522.654423676123
Asph	55.5345467545278	1	80.2486883125151	377.05406273777	1
Aspn	1	80.6777699510999	1	1	1
Asrgl1	38.8484434537324	1	460.092710117111	1	318.499951070862
Astn1	180.875732726345	1	212.295247296444	1	1
Atad2b	1	1	37.5879382224853	1	1
Atcay	119.776935131322	1	1	1	1
Atf1	1	1	50.8119545734529	1	1
Atf3	1	1	1	844.315202898831	1
Atg4a	1	120.805411064942	1	1	1
Atg4b	47.7035747157406	1	1	1	105.616044094476
Atg4c	74.1046300475893	1	1	1	140.155043628129
Atl1	302.706482634286	1	1	1	81.919558924018
Atl3	1	90.8091676187117	1	1	1
Atp10a	1	210.645589520147	1	1	1
Atp10d	1	84.0877048255209	1	1	1
Atp11c	1	1	1	92.8397910282757	1
Atp13a4	1	1	363.268972788206	1	1
Atp13a5	1	1181.03156011647	176.687174383404	1	1
Atp1a2	17.6282728458012	1773.51759248987	3834.29966029258	1	228.812368044093
Atp1a3	656.180989341159	1	1	1	1
Atp1b1	669.140543701101	1	133.630089652816	1	1
Atp1b2	74.5179335232906	123.893351972227	921.233279355569	1	36.5454335611114
Atp2a3	1	133.324383351953	1	1	1
Atp2b2	1378.16866983881	1	390.079250504025	1	1
Atp6v1b2	818.091830950644	1	1	15.395096731939	87.3693973456261
Atp6v1g2	1039.81369371627	1	1	1	1
Atp7a	1	1	1	121.607270699301	178.341632056623
Atp8a2	1	1	1	39.5230090129342	1
Atr	1	178.808083240563	1	1	1
Axin2	1	74.5871078173468	1	1	1
Azi2	76.8418849492721	1	1	1	1
B230120H23Rik	26.0441082418369	339.718742704865	1	1	1
B230217C12Rik	114.090397877028	1	1	1	1
B3galnt1	232.487743410244	1	1	1	1
B3galt1	112.09270590714	1	123.741586241692	1	1
B3galt2	101.80483409146	1	1	1	1
B3galt5	1	1	1	1	59.7183651488217
B4galt1	1	184.776688524836	1	613.831307353242	1
B4galt4	1	129.650361673605	1	147.042342441028	1
BC003965	44.4967410682566	139.267843560567	1	1	1
BC013712	1	1	1	50.6203216092165	1
BC017643	1	1	1	191.121704753227	1
BC017647	1	1	66.4331426381134	1	1
BC024659	773.52734828043	1	63.2643196244248	1	138.060903490596
BC028528	1	417.634328137526	1	138.965172389607	1
Bach1	1	1	1	67.4892716063533	1
Bag3	1	37.7465282031424	1	1	1
Bag4	70.3618758584866	1	1	1	1
Bai3	121.557690316285	1	1	1	1
Baiap2	188.733620828924	1	1	1	1
Bank1	1	1	1	160.03488166392	1
Bbs4	183.58581637085	1	1	1	1
Bcan	1	1	442.018978091209	1	218.969397721195
Bcas1	1	1	1	1	374.821573272628
Bcat1	202.514650836667	1	1	1	86.7398514791394
Bcat2	1	1	77.8172965994319	1	1
Bcl11a	109.045927025907	1	1	1	1
Bcl2	33.4239788087974	1	169.581246817785	1	1
Bcl2a1b	1	1	1	135.831992791907	1
Bco2	1	1	1	467.881548419648	1
Bdnf	101.044563413092	1	1	1	1
Bend4	125.287629310086	1	1	1	222.37754668861
Bex1	115.922935356312	1	1	1	1
Bex2	382.061651699245	1	1	1	1
Bfsp2	1	1	1	1	166.664130049661
Bgn	1	701.595178830884	1	1	1
Bhlhb9	80.9766954723528	1	1	1	1
Bid	28.44980163886	1	1	129.130547312502	1
Bin1	1	1	1	205.547817970355	63.2149614492263
Blnk	1	1	1	162.28518812354	1
Blvrb	1	119.379106713101	1	1	1
Bmp1	1	1	102.925861342236	1	1
Bmpr1a	1	1	85.9015449745565	1	1
Bmpr1b	1	1	275.16485817826	1	1
Bmpr2	20.6734007261214	176.704811276018	1	1	1
Bpgm	67.887171364487	1	202.202016605048	1	448.500017159803
Brms1l	93.5565694958797	1	1	1	1
Bsg	80.0842605569958	2087.11925263502	113.128056454472	1	81.0568644339678
Bsn	164.261656700427	1	1	1	1
Bst2	1	1	1	75.5643944667024	1
Btbd10	220.660825139749	1	1	1	1
Btk	1	1	1	97.8337309933248	1
Btrc	140.68396270922	1	1	1	1
C030018K13Rik	1	1	68.5279270451349	1	1
C030030A07Rik	1	1	1	1	174.97418091552
C030037D09Rik	1	1	41.5811444017285	1	1
C1qa	1	1	1	749.989839592213	1
C1qb	1	1	1	6673.15307836685	1
C1qc	1	1	1	1220.79308244091	1
C3ar1	1	1	1	707.991145514302	1
C5ar1	1	1	1	253.093270082416	1
C630043F03Rik	1	1	89.9421454870204	1	1
Cables1	1	1	1	205.779569094218	1
Cacna1e	191.261955905638	1	1	1	1
Cacna2d1	142.513035661587	1	1	1	1
Cacna2d3	80.4155672513952	1	1	1	1
Cacnb4	449.100682435955	1	1	1	184.908972951918
Cacng3	278.299532469885	1	1	1	1
Cacng4	1	1	1	1	36.120517895623
Cacybp	171.388314978224	1	1	1	121.876482216663
Cadps	231.985878630167	1	1	1	1
Calb1	70.9858583752965	1	1	1	1
Calb2	220.807350099443	1	1	1	1
Calcrl	1	673.83515867626	1	46.7152711907773	171.195551155698
Cald1	1	417.827484865836	1	1	64.5289533080595
Caln1	81.4366072729427	1	1	1	1
Caly	204.429641703317	1	1	1	1
Camk1	1	1	1	131.554560572311	1
Camk1g	111.562377344402	1	1	1	1
Camk2a	109.056124261606	1	1	1	1
Camk2b	178.513572350578	1	1	1	1
Camk2g	120.181932972286	1	237.263547630745	1	1
Camta1	217.476528662269	1	1	1	1
Car10	137.51919763105	1	1	1	1
Car14	1	1	1	1	283.750833346615
Car2	1	165.076953082487	1701.23127543261	1	7079.57625740902
Car4	73.6216583449967	1998.3449990527	1	1	1
Carhsp1	1	1	1	1	155.304941451302
Casc3	20.9102097394364	1	1	189.114181810133	1
