NAME	Neuron	Oligodendrocyte	Microglia	Endothelial	Astrocyte
Adap1	182.154641541663	200.188404469778	1	1	1
Adcy2	102.137490478337	1	1	1	211.755066660182
Adcy5	1	46.7433875206025	1	1	1
Adcy7	1	1	76.5819623168679	1	1
Adcy9	115.792834377274	1	1	1	1
Adcyap1r1	41.2495826110433	1	1	1	182.431902806407
Adhfe1	1	1	1	1	94.6739662000649
Adi1	1	183.060834847625	1	1	1
Adm	1	1	1	68.5470745679325	1
Ado	47.5784931794731	297.452793750377	1	1	1
Adora2b	1	1	1	1	71.1514694098186
Adrb2	1	1	484.355098659486	1	1
Adrbk2	66.9814035894376	1	1	1	175.818275425258
Adssl1	1	90.9081743506741	1	1	1
Afap1l1	1	51.9053767852	87.8389863326379	280.881344287347	1
Afap1l2	1	1	1	68.2610849883742	1
Aff1	1	1	61.8869316365678	1	1
Agl	1	1	1	1	98.8085989072756
Agpat4	75.7079675596377	348.101286943941	1	1	1
Agt	1	1	1	1	204.279380007427
Agtpbp1	214.728217461215	65.1734722271613	1	1	1
Ahnak	1	1	84.9478803770077	265.606740837442	1
Aif1	1	1	663.958116754027	1	1
Aif1l	1	37.0934823759876	1	1	1
Aifm3	1	1	1	1	76.7404382478437
Aig1	35.8055527672091	72.3774997816676	1	1	1
Ajap1	115.767152442116	1	1	1	1
Ak5	140.812290928703	1	1	1	1
Akap12	1	1	1	112.177701372697	1
Akap2	90.6315047765344	1	1	348.109870791121	52.8652494545946
Akap5	90.6662945042633	1	1	1	1
Akna	1	1	67.5027724404233	1	1
Akr1b10	1	1	1	1	56.6820615151029
Akt3	68.2571642236855	1	1	1	1
Aldh1a1	1	1	1	1	77.9411423250098
Aldh1l1	1	1	1	1	196.254739895064
Aldh5a1	48.0341588472738	1	1	1	143.837354597826
Aldh7a1	1	1	1	1	86.7325914935443
Aldoart2	86.7042706144846	1	1	1	1
Aldoc	54.1640815955865	71.2581778005077	134.080333408012	64.4559833551595	2324.06689868182
Alg2	71.039628091897	1	1	1	1
Alox5	1	1	49.0333059395319	1	1
Alox5ap	1	1	241.007980590067	1	1
Amer2	27.5034265173589	1	1	1	70.388088428084
Amn1	50.8556470571949	87.9837932503321	1	1	1
Amotl1	1	1	1	156.364635411234	69.489379654902
Amotl2	1	40.6007807019461	1	97.9421660608032	1
Ampd2	39.6010433985392	1	1	1	65.8358189541213
Angpt2	1	1	1	228.035043608793	1
Angptl7	1	1	183.585826589138	1	1
Ankrd28	28.5495591424305	151.378748688717	1	1	1
Ankrd37	1	1	1	104.456424422132	1
Ankrd44	1	1	47.5965846895622	1	1
Anln	1	390.191669380054	1	1	1
Ano1	1	1	1	93.0872713968734	1
Ano10	1	81.3976170793131	1	1	1
Ano3	106.51530514061	1	1	1	1
Ano4	1	135.530715277273	1	1	1
Antxr1	1	1	1	1	77.2217265318609
Anxa1	1	1	1	253.487843538312	1
